country,country_code,year,predicted_population
Eritrea,ERI,2029,3756629.926543374
Eritrea,ERI,2030,3796074.5407720795
Eritrea,ERI,2031,3832896.463817569
Eritrea,ERI,2032,3867009.242345545
Eritrea,ERI,2033,3898332.017208544
Estonia,EST,2024,1356069.1417
Estonia,EST,2025,1344271.34016721
Estonia,EST,2026,1331769.6167036549
Estonia,EST,2027,1318585.0974982886
Estonia,EST,2028,1304739.9539745566
Estonia,EST,2029,1290257.3404854392
Estonia,EST,2030,1275161.3296017596
Estonia,EST,2031,1259476.845247658
Estonia,EST,2032,1243229.593943963
Estonia,EST,2033,1226445.9944257196
Eswatini,SWZ,2024,1237839.742
Eswatini,SWZ,2025,1244647.860581
Eswatini,SWZ,2026,1250871.099883905
Eswatini,SWZ,2027,1256500.0198333825
Eswatini,SWZ,2028,1261526.019912716
Eswatini,SWZ,2029,1265941.3609824106
Eswatini,SWZ,2030,1269739.185065358
Eswatini,SWZ,2031,1272913.5330280212
Eswatini,SWZ,2032,1275459.3600940772
Eswatini,SWZ,2033,1277372.5491342184
Ethiopia,ETH,2024,131008103.772
Ethiopia,ETH,2025,133248342.34650122
Ethiopia,ETH,2026,135406965.49251452
Ethiopia,ETH,2027,137478692.06455
Ethiopia,ETH,2028,139458385.23027954
Ethiopia,ETH,2029,141341073.43088832
Ethiopia,ETH,2030,143121970.9561175
Ethiopia,ETH,2031,144796498.0163041
Ethiopia,ETH,2032,146360300.1948802
Ethiopia,ETH,2033,147809267.1668095
Fiji,FJI,2024,925500.1710000001
Fiji,FJI,2025,926610.7712052001
Fiji,FJI,2026,927444.7208992847
Fiji,FJI,2027,928001.1877318242
Fiji,FJI,2028,928279.5880881437
Fiji,FJI,2029,928279.5880881437
Fiji,FJI,2030,928001.1042117174
Fiji,FJI,2031,927444.3035491903
Fiji,FJI,2032,926609.603675996
Fiji,FJI,2033,925497.6721515848
Finland,FIN,2024,5552963.2562
Finland,FIN,2025,5502986.586894199
Finland,FIN,2026,5451258.512977394
Finland,FIN,2027,5397836.179550216
Finland,FIN,2028,5342778.2505188035
Finland,FIN,2029,5286144.801063304
Finland,FIN,2030,5227997.208251608
Finland,FIN,2031,5168398.040077539
Finland,FIN,2032,5107410.943204624
Finland,FIN,2033,5045100.529697527
France,FRA,2024,66053429.1108
France,FRA,2025,65591055.107024394
France,FRA,2026,65053208.4551468
France,FRA,2027,64441708.29566842
France,FRA,2028,63758626.187734336
France,FRA,2029,63006274.398719065
France,FRA,2030,62187192.83153572
France,FRA,2031,61304134.69332791
France,FRA,2032,60360051.019050665
France,FRA,2033,59358074.17213442
Gabon,GAB,2024,2521761.6111
Gabon,GAB,2025,2557822.80213873
Gabon,GAB,2026,2592864.9745280305
Gabon,GAB,2027,2626831.5056943474
Gabon,GAB,2028,2659666.899515527
Gabon,GAB,2029,2691316.9356197617
Gabon,GAB,2030,2721728.816992265
Gabon,GAB,2031,2750851.315334082
Gabon,GAB,2032,2778634.913618956
Gabon,GAB,2033,2805031.9452983364
Gambia,GMB,2024,2747436.4647999997
Gambia,GMB,2025,2796066.09022696
Gambia,GMB,2026,2843599.213760818
Gambia,GMB,2027,2889949.880945119
Gambia,GMB,2028,2935033.099087863
Gambia,GMB,2029,2978765.0922642723
Gambia,GMB,2030,3021063.5565744247
Gambia,GMB,2031,3061847.9145881794
Gambia,GMB,2032,3101039.5678949077
Gambia,GMB,2033,3138562.146666436
Georgia,GEO,2024,3796013.692
Georgia,GEO,2025,3784246.0495547997
Georgia,GEO,2026,3772136.4621962244
Georgia,GEO,2027,3759688.411870977
Georgia,GEO,2028,3746905.4712706157
Georgia,GEO,2029,3733791.302121169
Georgia,GEO,2030,3720349.6534335325
Georgia,GEO,2031,3706584.359715828
Georgia,GEO,2032,3692499.339148908
Georgia,GEO,2033,3678098.591726227
Germany,DEU,2024,83973256.3488
Germany,DEU,2025,83385443.55435841
Germany,DEU,2026,82785068.36076702
Germany,DEU,2027,82172458.85489735
Germany,DEU,2028,81547948.16760013
Germany,DEU,2029,80911874.17189284
Germany,DEU,2030,80264579.1785177
Germany,DEU,2031,79606409.62925385
Germany,DEU,2032,78937715.78836812
Germany,DEU,2033,78258851.43258815
Ghana,GHA,2024,34216975.949
Ghana,GHA,2025,34641266.4507676
Ghana,GHA,2026,35060425.774821885
Ghana,GHA,2027,35474138.79896478
Ghana,GHA,2028,35882091.39515288
Ghana,GHA,2029,36283970.81877859
Ghana,GHA,2030,36679466.10070327
Ghana,GHA,2031,37068268.44137072
Ghana,GHA,2032,37450071.606316835
Ghana,GHA,2033,37824572.32238001
Greece,GRC,2024,10166028.625
Greece,GRC,2025,10091816.616037501
